(Click me, if I am too big copy and paste me into a spreadsheet or text editor)
		OBJECT NAME	LIGHTMAP INDEX	STATIC	OVERLAPPING SUBMESHES	OUT-OF-BOUNDS UVs	NUM MATS	MATERIAL	WARNINGS
		Obi Rope (126 verts)	-1	False	False	True	1	[OrangePlastic 1 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x19 times]
	Standard (4210154 verts): 
		ID49 (238 verts)	-1	False	False	False	1	[material (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.099 (3117 verts)	-1	False	False	False	1	[New Material (UnityEngine.Material)] 	
		Cube (24 verts)	-1	False	False	False	1	[Default-Material (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.123 (55145 verts)	-1	False	False	False	1	[New Material (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.121 (5876 verts)	-1	False	False	False	1	[New Material (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.118 (2626 verts)	-1	False	False	False	1	[New Material (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.117 (2626 verts)	-1	False	False	False	1	[New Material (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.116 (2626 verts)	-1	False	False	False	1	[New Material (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.115 (2626 verts)	-1	False	False	False	1	[New Material (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.114 (2626 verts)	-1	False	False	False	1	[New Material (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.113 (2626 verts)	-1	False	False	False	1	[New Material (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.112 (2626 verts)	-1	False	False	False	1	[New Material (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.098 (15556 verts)	-1	False	False	False	1	[New Material (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.111 (2626 verts)	-1	False	False	False	1	[New Material (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.109 (2626 verts)	-1	False	False	False	1	[New Material (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.108 (38389 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.107 (13883 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.106 (3758 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.105 (2807 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.104 (4935 verts)	-1	False	False	False	1	[New Material (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.103 (25726 verts)	-1	False	False	False	1	[New Material (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.102 (25726 verts)	-1	False	False	False	1	[New Material (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.097 (3120 verts)	-1	False	False	False	1	[New Material (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.073 (24139 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.084 (13723 verts)	-1	False	False	False	1	[New Material (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.074 (24139 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.021 (7391 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		Cube (24 verts)	-1	False	False	False	1	[New Material 3 (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.095 (9277 verts)	-1	False	False	False	1	[New Material (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.094 (2624 verts)	-1	False	False	False	1	[New Material (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.092 (4437 verts)	-1	False	False	False	1	[New Material (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.091 (4439 verts)	-1	False	False	False	1	[New Material (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.090 (4445 verts)	-1	False	False	False	1	[New Material (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.089 (2868 verts)	-1	False	False	False	1	[New Material (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.088 (19790 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.087 (19791 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.101 (1692 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.086 (7132 verts)	-1	False	False	False	1	[New Material (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.085 (13723 verts)	-1	False	False	False	1	[New Material (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.083 (13723 verts)	-1	False	False	False	1	[New Material (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.082 (13723 verts)	-1	False	False	False	1	[New Material (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.081 (19790 verts)	-1	False	False	False	1	[New Material (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.080 (19790 verts)	-1	False	False	False	1	[New Material (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.079 (10323 verts)	-1	False	False	False	1	[New Material (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.078 (27605 verts)	-1	False	False	False	1	[New Material 2 (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.077 (4520 verts)	-1	False	False	False	1	[Amarelo_aker (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.076 (5032 verts)	-1	False	False	False	1	[Amarelo_aker (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.075 (24139 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.096 (3124 verts)	-1	False	False	False	1	[New Material (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.100 (1692 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.110 (2626 verts)	-1	False	False	False	1	[New Material (UnityEngine.Material)] 	
		Cylinder (1) (88 verts)	-1	False	False	False	1	[Default-Material (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.045 (14818 verts)	-1	False	False	False	1	[Amarelo_aker (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.047 (23610 verts)	-1	False	False	False	1	[Amarelo_aker (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.069 (3796 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.068 (3796 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.067 (3796 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.066 (3796 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.065 (3796 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.064 (3796 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.063 (3796 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.062 (3796 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.071 (24139 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.061 (3796 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.046 (58819 verts)	-1	False	False	False	1	[Amarelo_aker (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.059 (3796 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.057 (2598 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.056 (2598 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.055 (2598 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.054 (2598 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.053 (2598 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.052 (2598 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.051 (14822 verts)	-1	False	False	False	1	[Amarelo_aker (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.050 (58819 verts)	-1	False	False	False	1	[Amarelo_aker (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.060 (3796 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.020 (19517 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.032 (1238 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.023 (9646 verts)	-1	False	False	False	1	[New Material (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.072 (24139 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.070 (24139 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.043 (58819 verts)	-1	False	False	False	1	[Amarelo_aker (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.042 (58819 verts)	-1	False	False	False	1	[Amarelo_aker (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.041 (58819 verts)	-1	False	False	False	1	[Amarelo_aker (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.040 (58819 verts)	-1	False	False	False	1	[Amarelo_aker (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.039 (71633 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.038 (3796 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.037 (1235 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.036 (1235 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.022 (49761 verts)	-1	False	False	False	1	[Amarelo_aker (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.035 (1228 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.044 (58819 verts)	-1	False	False	False	1	[Amarelo_aker (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.033 (1232 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.031 (1239 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.030 (1235 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.029 (966 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.028 (4358 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.027 (1008 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.026 (5040 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.025 (3711 verts)	-1	False	False	False	1	[Amarelo_aker (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.024 (8211 verts)	-1	False	False	False	1	[Amarelo_aker (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.034 (1231 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.019 (19517 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		ID274 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID334 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID34 (320 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.017 (19517 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.016 (19517 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.015 (19517 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.014 (19517 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.013 (19517 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.012 (28279 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.011 (28279 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.010 (29567 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.009 (4447 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		ID40 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.008 (3244 verts)	-1	False	False	False	1	[New Material (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.007 (4391 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.005 (242122 verts)	-1	False	False	False	1	[Amarelo_aker (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.004 (2208 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.003 (27732 verts)	-1	False	False	False	1	[New Material (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.002 (2256 verts)	-1	False	False	False	1	[New Material (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.001 (216798 verts)	-1	False	False	False	1	[Amarelo_aker (UnityEngine.Material)] 	
		Plane (1) (121 verts)	-1	False	False	False	1	[Default-Material (UnityEngine.Material)] 	
		skpED53 (6608 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		group_0 (8060 verts)	-1	False	False	False	2	[Color_M07 (UnityEngine.Material)] [Color_D05 (UnityEngine.Material)] 	
		ID22 (9972 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID184 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID28 (14036 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID46 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID178 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		105143_ROV.269 (444 verts)	-1	False	False	False	1	[Body1221 (UnityEngine.Material)] 	
		105143_ROV.268 (8539 verts)	-1	False	False	False	1	[Body951 (UnityEngine.Material)] 	
		ID58 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID64 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID70 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID76 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID82 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID88 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID94 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID100 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID52 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID106 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID118 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID124 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID130 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID136 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID142 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID148 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID154 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID160 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID166 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID172 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID112 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.049 (58819 verts)	-1	False	False	False	1	[Amarelo_aker (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.006 (68553 verts)	-1	False	False	False	1	[Amarelo_aker (UnityEngine.Material)] 	
		ID196 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID340 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID208 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID214 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID220 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID226 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID232 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID238 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID244 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID250 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID256 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID352 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID262 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID268 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID280 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID286 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID292 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID298 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID304 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID310 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID316 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID322 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID328 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID346 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID190 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.018 (19517 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		Cylinder (88 verts)	-1	False	False	False	1	[Default-Material (UnityEngine.Material)] 	
		ID202 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID364 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID370 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID376 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID382 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID388 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID394 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID400 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		ID406 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		Cube (24 verts)	-1	False	False	False	1	[Default-Material (UnityEngine.Material)] 	
		Mont1 - base flot HD fUGRO-1 (320 verts)	-1	False	False	False	1	[Mtl54 (UnityEngine.Material)] 	
		Bullet (24 verts)	-1	False	False	False	1	[Default-Material (UnityEngine.Material)] 	
		bullet (3545 verts)	-1	False	False	False	1	[No Name (UnityEngine.Material)] 	
		Part1.000 (4202 verts)	-1	False	False	False	1	[Metal rust (UnityEngine.Material)] 	
		Part1.003 (172 verts)	-1	False	False	False	1	[Material.002 (UnityEngine.Material)] 	
		Part1.004 (1959 verts)	-1	False	False	False	1	[Material.001 (UnityEngine.Material)] 	
		Part1.005 (108 verts)	-1	False	False	False	1	[Material.001 (UnityEngine.Material)] 	
		Part1.006 (1481 verts)	-1	False	False	False	1	[Material.003 (UnityEngine.Material)] 	
		Part1.007 (1287 verts)	-1	False	False	False	1	[Material.001 (UnityEngine.Material)] 	
		Part1.008 (267 verts)	-1	False	False	False	1	[Material.002 (UnityEngine.Material)] 	
		Part1.009 (184 verts)	-1	False	False	False	1	[Material.001 (UnityEngine.Material)] 	
		Part1.010 (108 verts)	-1	False	False	False	1	[Material.001 (UnityEngine.Material)] 	
		ID358 (288 verts)	-1	False	False	False	1	[Color_D05 (UnityEngine.Material)] 	
		105143_ROV.270 (154 verts)	-1	False	False	False	1	[Body1222 (UnityEngine.Material)] 	
		10346135 - HYDR RIMS, LTPC 14W 12PRD.048 (14819 verts)	-1	False	False	False	1	[Amarelo_aker (UnityEngine.Material)] 	
		105143_ROV.867 (110 verts)	-1	False	False	False	1	[Body1705 (UnityEngine.Material)] 	
		Cube (2) (24 verts)	-1	False	False	False	1	[Default-Material (UnityEngine.Material)] 	
		Mont1 - frontal flot HD fUGRO-1 (324 verts)	-1	False	False	False	1	[Mtl53 (UnityEngine.Material)] 	
		Cube.010 (24 verts)	-1	False	False	False	1	[163,163,169 (UnityEngine.Material)] 	
		Cube.029 (380 verts)	-1	False	False	False	3	[Material (UnityEngine.Material)] [Material.001 (UnityEngine.Material)] [Material.004 (UnityEngine.Material)] 	
		Cube.011 (24 verts)	-1	False	False	False	1	[163,163,169 (UnityEngine.Material)] 	
